source,target,weight
UGODEC5,BOEMUS1,74
ODIDES,ANOOXO,179
ANOINC,RUDQUA,92
UGODEC1A,GAFEXT,104
BERNPRO,ANO1MU,94
VANREM,GLADOD1,53
ANO11TRA,VALMON,59
ANOCMU,ANOQS,349
SALMUS7,SALMUS6,100
GARDMM,GARDEMP,2088
BOEDIM1,IERTRA1,2108
ANOMUSC,PROEXP,92
AARIH3,VANREM,58
MURPRA,MURNOT,1593
BOEDIM1,CICNM1,113
ANOECC,HUCHARM,129
ANODMP,ARITRA,263
MAUDEU,ODOMU,51
CICNM2,AURMD,86
ISIDEMU,VINSPE,288
MURARSPB,UGODEC3B,726
ISIDEMU,IERTRA1,139
HANSUMA,QUAPRIB4,103
MARLU10,MARLUC10,51
BOEDIM2,BOEMUS2,2209
IERTDM1,ANOTRDMW,74
BOEDIM4,JACSM6A,86
AUGDEM3,SALMUS6,152
GLADOD2,GLADOD1,141
ARIMUS,GUICOMS,660
ROSLIB1,ANOLAF,116
WOLENC4,GUEUT,51
ALIMUSI,ANODUL,178
NICLAU,ANOOXO,67
BOEDIM4,ADEMUSI,1029
JACSM6B,JACSP6B,192
BOEDIM1,CICNM3,109
ADORF,GUIRR,57
PROTRAY,PROTRAP2,4081
ANOQUA,ANOTDD,70
GARDMMP,GARDEMP,1973
BONBRE,CONNOV,53
UGODEC5,BOEMUS5,193
ANORDC,ANORCPT,88
ODOREG,ODORE,2000
CICNM2,ANOOXO,54
JACSM7,FRAARSCM,63
ANO2TDM,ANO2TRDM,1636
HERMUSP,WILMU,52
IERTRA2,ADEMUS,191
ANO2TRA,HANSUM,83
FRAARSC,FRAACM,293
ANO11TDM,VALMON,61
IERTDM1,GAFEXT,119
AQUARS,JOHDEM,72
ANODMP,VITARNO,88
ANOFRA,REGHARI,73
BOEDIM5,MUSENCI,168
GAFPM1,ROSLIB1,181
MURARSPA,UGODEC3A,243
TINTDR,TINTRAR,876
AURMD,IERTRA1,155
REGDHI,BOEMUS3,135
VINSPE,JACSP1A,148
WFANON1,BERNMUS,71
UGOMUS,UGODEC1B,1450
AURMUSD,VINSPE,181
TINCOM,TINCOM2,1012
GAFEXT,PROEXP,439
JOHDEM,CONNOV,895
ISIDEM,MAUMUS,345
IERTRA2,IERTDM2,3139
ABGURAM,ANOLAF,60
ARITRA,VITARSN,72
MURARSPA,GAFEXT,266
JACSP5B,BOEMUS4,76
MARLU1,GAFEXT,129
CASIM,AURMUS,200
IERTRA1,ODOMU,79
IERTDM1,LIBDEM,159
WILMU,ANOMARG,57
ARIMUS,GUIMICRO,182
ANOOXO,BEDMUT,56
GLADOD1,VOGMUS,91
ANOCOMM,ANO3DEC,67
CICNM2,BERNMUS,207
ARITRA,ANOTDD,58
PAULARSA,PAULARS,444
GUIMIC,GUIMICR,3303
BURMUS1,GALRC1,77
BERNMUS,ANO1MUS,151
BERNDIVM,HUCHAR,86
BOEMUS1,CICNM1,137
HERMUSE,WILMU,67
CICNM3,CICNM1,60
IERTRA1,GUISTON,56
ADORFAC,ADORF,397
TINEM,ANO11TDM,60
MURNOT,MURMGAF,67
AURMUSD,ISIDEM,56
ANODMT,GUICOMS,180
ANOMUSC,MURARSPB,97
FRAARSCM,FRAARS,350
VITARN,ARITRA,150
TINEXP,TINDIF,613
ANOTRHO,ARITRA,80
TALLEC,JACSP6B,51
PETMUS,PETMUSUP,181
REGDEM,ODOINT,54
ABGURAM,WYLMUS,61
FULMUS4,BOEARI1,109
IERTRA1,MAUMUS,159
TINEXP,TINEM,2966
FRUBRE,WILMUSI,208
ARIDEM,JACSM6A,67
ANOOXO,BOEARI1,90
ANOUPS2,ANOARSM,178
ANOMUS2,PROEXP,109
MUSENCI,RUDQUA,84
ANOCMM,ANO3DEC,527
BOEMUS1,UGODEC5,89
BOEMUS1,REGDHI,243
CICNM3,CICPROP,779
AUGDEM2,SALMUS5,206
ALIMU,ANODUL,175
MARLU6,CICNM1,54
UGODEC3A,MURARSPB,360
ARIDEM,GUIMICRO,168
JACSP7,FRAARSCM,85
ARIMUS,JACSP6A,133
MARDEN9,MARDNP9,3119
LOSERO,SPANQUA,147
AURMUSD,BOEDIM1,96
FRUBRE,BOEDIM1,58
REGTON,FRUTON,57
MURMUSAB,MURMUSI,64
BONBRE,MARLU14,120
MURQUAE,MURARSD,305
GUISEX,GUIREG,93
WFANON1,ANO1MU,58
JACSP1A,CICPROP,122
CICNM3,CICNM4,51
MURMUSAB,MURISW3,558
ANOCOM,BALABM,92
ANOTRUT,ANODMF,418
GAFTM2,AUGDEM6,155
QUAPRIB1,VINSPE,69
ANOCOMM,ARTDIS,70
ANOFRA,REGHAR,65
ROSLIB1,VALMON,76
TINCON3,TINCPT3,854
ODORHY,ODORH,2101
BERNMUS,BERNINT,677
TINNAT,TINLDN,91
ODIDES,ODISUM,99
BONBRE,MARLUC9,164
VINSPE,ANOOXO,133
STAPMUS,QUECOM,59
BOEDIM1,ANOOXO,103
TINTDP,TINTRAP,866
BOEARI1,JACSP1A,92
JOHMU,REGDEM,53
IERTDM1,BOEDIM2,1463
REGDHI,IERTRA1,203
WFANON1,BERNPRO,69
HERMUSE,HERMUSG,4814
ANO12TCF,ANOCOMP,57
GUIMICR,GUICOMS,132
JACSP5A,JACSP6A,55
BOEMUS1,BEDMUT,108
IERTRA1,GAFEXT,123
ISISEN,MAUMUS,259
ANODMM,GARDMMP,108
VINSPE,BOEMUS5,98
MURLIB,MURARSPB,542
ANO1MUS,BERNMUS,75
ANOMETE,IERTRA1,74
AURMUSD,IERTRA1,163
LAFVAR,CICPROP,149
UGOMUS,UGODEC3A,221
MACCOM2,REGHAR,148
ANOTRUT,ODODIA,416
IERTRA2,CICNM4,140
ANOCMB,ANOCOMB,1169
RUDQUA,SCHENC,66
WFANON1,JACSP6A,157
ODISUM,ANOOXO,173
JOHMUS,PERTRA,168
DISPOS,DISVUL,340
JACSP6A,BOEDIM4,51
BALABR,ANO2TRA,96
ANOOXO,BERNMUS,57
GUIMICR,CONNOV,174
MARLUC8,MARLU8,444
DISVUL,IERTRA2,61
HERMUSB,HERMUSP,101
FRUBRE,ANOMK,89
ODOMUS,IERTRA1,99
IERTDM1,BOEMUS5,400
IERTRA1,BOEDIM4,52
UGOMUS,UGODEC3B,151
BONBRE,MARLU3,60
SCHENC,BOEARI1,108
ISIDEM,ZAMLAM,71
GAFEXT,MARPOM,173
ANOMUSD,MAUDEU,68
FRUBREC,ANO1MU,120
WFANON2,JACSP6A,120
ANO2TRA,ANOCOM,55
BOEARI2,RAMMP3T2,88
SCHENC,RUDQUA,1399
WFANON1,BERNDEM,84
LUCARSC,MURARSPB,611
LOSERO,LAMCOM,163
TINDIF,TINPRO,96
ANOTDD,ANOUPS2,108
BOEDIM1,JACSP1A,147
ANO1OMN,ANODEF,92
ALIMUSI,ANODUL2,125
MURISW3,MURMUS,1194
IERTDM1,JACSP1B,60
ADORFA,ADORF,704
ANOTRUT,GUIMIC,273
ANOMUPO,ANO11TRA,65
JOHDEM,GUIMICR,73
WOLENC5,GAFPM2,330
MUSENC,RUDQUA,113
WILMUSI,GUIMICRO,101
ADEMUS,BOEMUS4,403
JACSP6A,JACSP6B,51
SZYDMUS,SZAMUS,188
ZAMLAM,BERTONA,108
VINSPE,REGDHI,145
RHAENC,ORNMUS1,112
FRUBRE,METANO1,375
VINSPE,ISIDEM,447
MURARSPA,MURARSPB,1105
ZAMLAM,ANOLAF,55
ARIMUS,GUIMIC,187
MARLU13,MARLUC13,70
ANOSEQ,ANODES,283
RUDQUA,SCENCH,70
BERNDIV,HUCHAR,146
IERTDM2,IERTRA2,613
GUIPRO,ANOTRDMW,58
WILMUS,GUIMICRO,100
GAFAPO,RAMMP3T2,370
MACCOM2,FRORER,66
FRAACM,HANSUMA,62
IERTDM1,BOEDIM3,1989
HANREGU,ANOCOMM,67
ANOCMM,ANOCOMM,74
GUIPRAN,GUIPROL,2132
GUNDDIV,FARORT,104
ANOORG,ANOMON,333
REGHARI,MURTON,94
LIBDEM,IERTRA1,91
MURARSD,ANO11TDM,55
JACSP6A,JACSM6A,260
BOEDIM1,CICNM4,128
WILBRE,ODIDES,88
GUIMICR,ARIMU,168
ARIMUS,JACSM6A,81
BOEMUS1,REGHARI,277
ANORUB,MARPOM,121
BONBRE,MARLUC14,63
GUICOMS,ARIMU,538
HANREGU,ANO2TRA,121
UGODEC5,BOEMUS3,96
ANO3DEC,ANO2TRA,58
GUIMIC,GUICOMS,161
MURMSPEW,MURISW3,52
ANOLAF,ABGURAM,78
RUDQUA,MUSENCI,56
HANREGU,HANSUMA,408
ANORUB,MARBRE,184
ANOCC,BOEDIM5,53
BONBRE,GAFEXT,347
SALMUS3,SALMUS2,65
ANO1279,GARDMMP,58
PETARS,PETMUSM,357
JACSP3A,JACSP3B,218
ANOTDD,VITARNO,125
PETARS,PETMUS,397
AUGDEM3,SALMUS5,223
IERTDM1,VALMON,68
ARIDEM,JACSP6A,107
ARIMUS,GUIMICR,209
VITARN,ANODMP,157
UGODEC1A,CICNM1,59
IERTDM1,ODOMU,142
BOEMUS4,CICNM4,122
IERTRA1,GLADOD1,60
ABGURAM,BERTON,174
BOEMUS5,IERTRA1,273
MURISW3,MURMSP,181
LUCARSC,ANOMUS2,87
GAFTM2,BOEDIM1,79
ZELTRAC,ZELTRA,385
GAFEXT,MARBRE,765
ANOMUS,MARLUC11,161
ISIDEM,MAUDEU,438
GAFPM3,QUECOM,66
MARPOME,MARBREV,327
ANODMT,GUICOM,173
ROSLIB1,BURMUS1,188
IERTRA1,MAUDEU,183
CARTRA,PERTRA,82
BOEMUS1,CICPROP,117
JACSM6A,RUDQUA,214
BOEMUS5,HOTEXC,64
VANREM,ROSLIB1,80
GAFEXT,BERMAN,184
BOEDIM1,REGHAR,277
REGDHI,ANOFRA,59
LOSERO,FINPRA,249
HANREGU,HANSUM,413
ANOCC,BOEMUS5,155
BOEARI2,GAFTM3,51
IERTDM1,ANOCC,102
WFANON1,RUDQUA,392
FRAARSC,QUAPRIB4,166
UGOMUS,RAMMP2,51
ISISEN,ISIDEM,422
UGODEC3A,PROEXP,594
ANODEF,ANO6DEM,87
VINSPE,AURMUS,166
JOHMU,JACSM6A,94
IERTDM1,ANOPHIL,54
FRURIT,BOEARI2,84
UGODEC5,PROSPEC,57
MURMSPEW,MURMSPE,99
AURMD,ISIDEM,54
UGODEC3B,PROEXP,395
MUSENCH,MUSENC,3642
BEDMUS,ARITRA,1752
GAFEXT,MARLUC1,184
BOEMUS1,CICNM4,212
ANOCMM,ANOPRA,69
ISIDEMU,ISISEN,125
VITARSN,VITARNO,152
IERTDM1,JACSP1A,174
THEPAR,GUIMIC,55
IERTDM1,VANREM,58
JOHMU,ANOLIBM,76
BOEMUS1,IERTRA1,1686
CICNM2,BOEDIM1,54
MAUDEU,HIERINST,155
ISIDEM,ZAMLIB,52
FRUBRE,HERVER,53
ODODIA,JACSM6A,172
MURMUSI,MURMUS,287
BONBRE,ODODI,93
ISISEN,ANOMETE,67
IERTRA1,JACSP1A,103
REGDHI,MURTON,123
AURMD,AURMUS,275
VITARSN,ARITRA,65
MARLU6,MARLUC6,503
THEMUS,THEMUSI,3898
MARLUC2,ROSLIB1,56
ANOAPC,ANO12TCF,261
PROBRE1,PROBRE2,649
GUIEP,GUIEPI,2391
ISIDEM,IERTDM1,235
ANOPRA,ANOCOMM,64
HERMUSP,WILMUS,58
ANO3DEC,HANREG,52
VINSPE,ODOMU,137
FRAARSCM,HANSUM,239
ISIDEM,ANOOXO,55
JOHMUS,SCHANO,90
JACSP7,MURNOT,88
FRAARSC,FRAARS,1348
ANOMETE,GUICOMS,100
GUICOMS,GUIMICRO,113
ANOCYM,IERTRA1,146
MARLUC2,GAFEXT,139
IERTDM1,ZAMLIB,56
UGODEC5,BEDMUT,59
IERTDM1,BEDMUS,74
BOEDIM2,IERTRA1,3310
CARTRA,BONBRE,72
HERMUSP,HERMUSE,4431
GAFTM3,IERTRA1,58
RUDQUA,SCHEN,56
IERTDM1,ANO11TRA,83
ANO2TRA,ANOCMM,84
ANO11TDM,BONBRE,52
JACSP1B,JACSP1A,79
ANOLEIP,COCTET4,142
IERTDM1,FRUBRE,66
ANOQUA,ANO2TRA,61
MACCOM2,ANOOXO,84
ANOCC,VINSPE,68
ANOTPT,LUCARS,223
MACCOMSS,MACCOM1,466
BOEMUS1,CALVEX,88
ROSLIB1,JOHPAL,62
REGHARI,BOEDIM3,126
ODIDES,IERTRA1,52
UGODEC3B,GAFEXT,176
BALABR,ANOTDD,56
WILMU,HERMUSG,89
IERTDM1,ROSLIB1,99
ALIAMU,ANODUL,200
ANOMETE,ARIDEM,78
MURMUS,MURMSPEW,1728
ANOTRA,WFANON4,75
BURMUS1,RAMMP3T2,462
AURMUSD,ALCMUS,51
ALIAMU,ALIMUS,3664
MARBRE,MARBREV,542
VITARN,ANO2TRA,141
TINCON1,TINCON2,120
ANOTRHO,AMEPRA,72
IERTDM1,JOHPAL,74
PEPESUM,ANO11TDM,55
WILMUSI,WILMUS,251
BERNTON,BERNDCT,86
PROTRAP1,PROEXP,628
COCTET3,CZEDMP,56
ADORF,ADORFBB,61
GUNDDIV,FARSCIE,213
ANO5ARS,PROEXP,56
MURISW3,MURMSPE,183
QUAPRIB1,ARITRA,146
BALABR,ANOCOM,54
SZYDMUS,JOHPAL,111
MURMSP,MURMSPEW,141
VITARNO,ARITRA,78
CARTRA,ANO11TRA,88
ALIMU,ALIAMU,282
VALMON,ANO11TDM,108
GUIMICRO,CONNOV,111
ISISEN,VINSPE,552
ANOTRUT,JACSP6A,147
SCHANO,ANOLIBM,1489
TINEM,BONBRE,56
BERNDCTD,BERNDEC,375
REGDHI,ANOOXO,90
WILMUSI,GUIMIC,103
SCHEN,BOEARI1,91
JACSP6A,GARINT,51
BONBRE,MARLUC13,62
IERTDM1,REGHARI,277
MARLUC2,BONBRE,774
ISISEN,ISIDEMU,632
GUIPRAN,ANOTRDMW,61
VINSPE,GUISTON,52
QUAPRIB4,FRAARS,372
IERTDM1,BOEMUS2,3540
MARLU11,GAFEXT,176
ANOSPEG,GUIMICR,119
ANOTDD,ANOCOMM,55
BONBRE,UGODEC1A,52
ANOPRA,ARTDIS,62
REGHARI,RUDQUA,72
BONBRE,ROSLIB1,564
ODODIA,ANOTRHO,61
JACSP3B,JACSP2B,55
BOEDIM1,UGODEC1A,105
ROSLIB1,GARINT,129
HOTEXC,RAMMP1T1,170
ISISEN,MAUDEU,276
PROTRAY,PROTRAP1,134
GUIMIC,THEPAR,75
BOEMUS5,MUSENCI,143
COLORGR,COLORGS,149
GUIMICRO,GUIMICR,2958
HANSUMA,FRAARSC,187
MARLU5,GAFEXT,54
ANO1MU,BERNINT,155
AQUARS,JOHMUS,62
MAUDEU,MAUMUS,1092
ODODIA,JACSP6A,227
GUICHA,ABGUREG,158
MAUDEU,IERTRA1,55
REGDEM,CONNOV,89
ALIMU,ALIMUSI,86
CICNM2,CICNM4,56
FRUBRE,ANOCYM,401
TINEM,TINEXP,126
HANSUMA,ANO3DEC,69
VITARN,AQUMUS,139
JOHMU,JACSM6B,57
GLADOD1,GAFHAR4,91
AQUARS,JOHMU,55
BOEDIM5,IERTDM1,313
ISISEN,ODOMU,132
HANSUMA,ANOTDD,56
VALMON,ANO11TRA,94
IERTDM1,ISIDEM,384
ARIDEM,GUICOM,535
UGODEC3A,UGODEC3B,222
ANO3FRAM,ANO3FRA,532
ROSLIB1,MARLU12,77
ODODIA,JACSP5A,53
ORIPRA,HEYDAC1,221
ANO3DEC,ANOTRDIS,449
TINCPT2,TINCPT1,117
BERNDEM,FRUBREC,166
GAFEXT,MARLUC5,63
MARLUC2,MARLU2,1050
FRUBRE,BERNPRO,59
ANOOXO,AUGDEM6,80
SCHENC,SCENCH,89
ALIAMU,BOEARI2,89
GUIMICR,GUIMICRO,444
BOEMUS3,RUDQUA,167
IERTDM1,AURMD,165
IERTDM1,CICNM1,257
ANOME2,ANOMONEN,133
ORIPRA,FINPRA,157
VINSPE,CICNM1,77
ANOMUSC,MURLIB,81
WILMUS,GUIMIC,99
PROTRAP2,PROEXP,111
BOEMUS1,REGHAR,312
TINCPT1,TINCON2,102
DISPOS,DISPOVU,746
BOEMUS1,AURMUSD,134
ALIMU,ALIMUS,357
ANO1DEM,FRAACM,123
ANOMUPO,ANO11TDM,57
BOEMUS3,BOEDIM3,1603
FRACOM,FRACOMP,287
REGDHI,UGODEC5,60
ANO1MU,BERNMUS,155
HANREGU,ANOPRA,72
BOEDIM1,HOTEXC,61
IERTRA1,REGHAR,192
ANOQUA,ANOFIG,278
PETARS,PETMUSUP,175
VANREC,VANREM,3191
LOSERO,FABMUS2,181
UGODEC4,UGODEC5,312
GAFEXT,MARLU2,103
ALIMUSI,ALIAMU,73
ANOTDD,ARTDIS,113
GARDEM,GARDMM,931
ANO11TRA,SZAMUS,792
ANOMETE,ARIMUS,76
HOTEXC,IERTRA1,60
HANREG,HANSUM,489
ANOOXO,IERTRA1,226
MURARSPA,ANOMUSC,92
SALMUS7,AUGDEM5,1030
CARTRA,QUAPRIB3,2020
LOSERO,HERDEN,100
ANOTRUT,GUIPRAN,87
VINSPE,IERTRA1,1912
BOEMUS3,REGHAR,139
JOHMUS,JACSP6B,70
GARINT,ROSLIB1,55
BOEMUS1,JACSP1A,168
ANOMUS2,UGODEC3B,56
MURLIB,ANOMUS2,58
IERTDM1,ISIDEMU,712
ANO11TDM,ANO11TRA,256
UGODEC2,UGOMUS,1250
TINPROM,TINDIF,77
BERNDEM,BERNINT,251
ANODMM,GARDMM,169
MURMUSI,MURMSP,703
JACSP6A,JOHDEM,226
BOEMUS1,CICNM3,100
JACSP4,JACSP2C,101
KILDOS,METANO2,80
AURMUS,CASINS,339
BERTON,BERTONA,1723
BERNPRO,BERNDIVM,61
ANO2TRA,VITARSN,133
ANOCOBR,ANOCMB,1002
ANO7DDM,ANO7DED,247
BOEDIM5,IERTRA1,259
NOTDEMU,NOTDEM,1113
ANOMETE,ANOTRUT,53
JACDCM,ANO1TRA,945
JOHMUS,JACSM6B,65
IERTDM2,CICNM4,117
GUIPRAN,ANODMF,725
BOEMUS4,IERTRA2,1179
ISISEN,ANOMUSD,84
WOLOPA,KEINLIL,182
ANOINC,MUSENC,512
ODOPRO,ODODIA,147
JACSP6B,JOHDEM,60
MURLIB,UGODEC3B,119
BERNDIVM,ALIMUS,57
AQUMUS,VITARNO,81
GUISEX,GUIRRH,106
FABCOM,IERTRA1,54
VITARN,VITARSN,1690
ADORFA,ADORFAC,214
JACCDM,ODODI,77
FRAACM,FRAARS,2474
WILMUSI,HERMUSP,51
REGHARI,ANOOXO,91
BOEMUS1,GUISTON,96
FRAACM,ANO1DEM,169
SCENCH,ANOOXO,150
MURTON,REGHAR,126
JOHMU,PERTRA,177
HANSUMA,ANO1DEM,80
JACSP3A,JACSP2B,78
ANOCOMM,ANOTDD,62
GALRIT1,BURMUS1,60
IERTDM1,ANO11TDM,97
ISIDEM,AURMUS,79
ANOCYM,ANOMARG,75
IERTDM1,CALVEX,85
JACSP1B,JACSP2A,52
JACSP6A,GUIEPI,77
ANOTDD,ANOCMM,86
TALLEC,MONPREC,53
MUSENC,BOEMUS5,148
JACSP5A,GUIMICR,70
BOEMUS2,IERTRA1,2531
ANO2TRA,ANOTDD,280
ANOOXO,BOEMUS5,71
CASINST,CASIM,546
BERNPRO,BERNINT,720
ANOCMM,ANO2TRA,63
HANREGU,ARTDIS,98
MARLU4,BONBRE,156
ANO11TDM,JOHPAL,82
ROSLIB1,MARLU2,75
ARIMUS,GUICOM,557
ANO2TRA,ARTDIS,80
CICNM2,BOEMUS1,63
ALIMUSI,ALIMU,3315
MARLU1,MARLUC1,684
IERTDM2,BOEMUS4,570
HUCORG,ANOINCOR,532
VANREM,ANO11TRA,109
ANOCYM,ANOFIS,249
ANOCST,ANOCSTO,146
AURMUSD,BOEARI2,136
JACSP5B,JACSP2B,79
ANOOXO,GUIMICR,100
IERTDM2,ADEMUSI,451
BALABR,ANOPRA,58
FRAARSCM,QUAPRIB4,206
IERTDM1,BOEMUS3,1251
MURARSD,GUEUT,114
REGHARI,IERTRA1,220
BOEMUS1,RUDQUA,111
IERTDM1,QUAPRIB1,67
RUDQUA,ARIMU,631
FRAARS,FRAARSCM,2444
ANO1DEM,FRAARS,328
IERTDM1,IERTDM2,70
HERMUSB,WILMUSI,56
GAFEXT,LUCARSC,128
JACSM7,FRAARS,86
BOEDIM4,BOEMUS4,3052
ARITRA,VITARNO,85
AURMD,ALCMUS,51
VITARSC,GARINT,144
VANREM,ARITRA,53
UGOMUS,ANOCMU,96
AQUARS,AQUMUS,69
IERTDM1,JOHMUS,274
PROCON,PROTRAC,1702
GAFEXT,ANOCMU,67
WFANON1,JACSM6A,87
VANREM,VALMON,78
GAFEXT,ISIDEMU,85
BOEDIM4,JACSP6A,109
ANO1MUS,BERNINT,242
ZAMLAM,IERTRA1,71
FRUBRE,HERMUSG,276
GUICOM,GUIMICRO,110
ANOMUS2,GAFEXT,64
ODOMUS,AURMUS,55
GUIPROL,ANODMF,737
REGDEM,GUIMICR,65
MARLUC3,MARLU3,168
IERTDM1,JOHMU,304
JACSP7,MURMSPE,78
ANODUL2,ALIMU,110
IERTDM1,BOEDIM5,71
JACSM6A,GUICOM,67
HERVERP,HERVER,71
BONBRE,NICCOM,73
GAFTM2,IERTRA1,60
PERTRA,JOHDEM,154
GUIMIC,GUIMICRO,3474
IERTDM1,ZAMLAM,67
VINSPE,ISIDEMU,551
ANOTDD,BALABM,85
AURMD,AURMDAP,179
ANO2TRA,AQUMUS,118
JACSP4,RUDQUA,96
REGHARI,ISISEN,108
ROSLIB1,MARLUC12,62
TINEXP,QUAPRIB3,73
JACSP4,IERTRA1,60
BOEMUS5,VINSPE,309
GAFEXT,MAUMUS,58
IERTDM1,ISISEN,565
BOEMUS2,BOEDIM2,1384
MURMSPEW,MURMUSI,69
ADEMUSI,IERTRA2,616
WFANON1,ANO1MUS,87
BOEMUS4,ADEMUS,937
ANODMM,ARITRA,62
BERNPRO,ANOCAN,91
ANO2TRA,BALABM,70
BONBRE,ODODIA,73
GUIMIC,ARIMU,165
WILMUS,HERMUSG,79
MURARSPB,PROEXP,1401
ANOOXO,GUIMIC,68
IERTDM1,ANOCYM,275
LIBDEM,REIMAR,77
VINSPE,CICNM3,55
ANO1MU,ANO1MUS,174
ANOMON,ANOMONT,59
MURMSPE,MURMUSI,680
GALRC2,GALRITS3,2520
HERMUSE,WFANON1,58
GUIMICRO,GUIMIC,3055
ISIDEM,ODOMU,136
REGHARI,BOEDIM1,223
IERTDM1,BEDMUT,100
ANO11TDM,ROSLIB1,99
FRUBRE,BERNMUS,121
JACSP7,MURMSPEW,97
PEPESUM,MURARSD,62
ENGDEM3,ENGDEM4,51
ISIDEM,CASINST,53
BERNDIVM,BERNMUS,101
WYLMUS,ABGURAM,139
ODOPRO,ODODI,161
BERNMUS,JACSP6A,152
ODIDES,ANOCYM,89
VINSPE,BOEMUS1,545
JACSP3A,JACSP5B,58
ANO3DEC,ANOTDD,74
MURMUSI,MURMSPEW,753
BONBRE,MARLUC12,98
NOTDEMU,NOTLET,91
MAUDEU,ISISEN,105
ODORH,ODORHY,92
JACSP6B,GUIREG,85
CASINST,AURMUS,245
ORNMUS1,SPANQUA,95
MURNOT,MURARSD,494
CICNM1,MUSENCI,99
MURLIB,UGODEC3A,140
ARITRA,BEDMUS,54
BOEDIM4,IERTRA1,791
RHAENC,COCTET2,87
AQUMUS,VITARSN,102
HANSUMA,HANREG,368
WILMU,GUIMIC,106
JACSP7,MURMUS,96
LIBDEM,VINSPE,140
MAUDEU,ISIDEMU,400
JACSP6B,JACDIT,113
PERTRA,ANOSUM,1101
BOEDIM1,CICPROP,88
ANO11TRA,ANOTRHO,67
BURMUS1,ANOTER,53
BOEDIM1,RAMMP1T2,56
ANO11TRA,JOHPAL,68
ANOMETE,GUIMICRO,812
EBETRA,ARIMU,172
IERTDM1,BOEDIM1,2389
BONBRE,MARLUC1,159
ANO4COM,ANO4CMM,630
BALABR,BALABM,447
IERTDM1,UGODEC5,306
ANOCMU,ANOLAF,177
AURMD,BOEDIM1,87
ANOME1A,ANOME1B,76
ANODMP,VITARSN,142
AQUMUS,ANOTDD,58
ANOCMM,ANOTDD,87
ODOMUS,CICNM1,88
REGDHI,ANODUL2,70
ALIMUSI,BOEARI2,60
MURLIB,VITARSP,57
ANODEM,CAMDEM,3000
UGOMUS,UGODEC1A,443
VINSPE,ZAMLAM,54
VINSPE,LIBDEM,107
JACSP6A,GUICOMS,62
ANO11TDM,ANODVC,56
