source,target,weight
VITARN,QUAPRIB3,66
SCHEN,RUDQUA,1259
ANOCBT,ANOCOMB,692
ISISEN,ANOOXO,65
MUSENCI,MUSENCH,125
VITARN,ANOTDD,126
ADEMUSI,ADEMUS,2834
FRAACM,HANSUM,272
IERTRA1,BOEDIM5,51
GLADOD1,JOHPAL,59
UGODEC1B,UGODEC1A,81
ABGURAM,BERTONA,206
PSDTRA,CICNM1,60
JACSP2A,JACSP2B,322
HANSUMA,ANO2TRA,87
MURARSPA,MURLIB,1214
REMMUSI,MARDNP9,1153
FRUBRE,HERMUSP,292
BONBRE,MARLU12,146
AURMD,BOEARI2,120
JACSP7,FRAACM,83
BERNTO,BERNDEC,74
GAFTM2,VINSPE,102
ANOQUO,ANOQUOM,1475
UGODEC3B,MURARSPA,386
UGODEC3B,MURLIB,297
HERMUSP,WFANON1,68
SALMUS4,SALMUS2,93
ANOTRUT,GUIMICR,238
CARTRA,ROSLIB1,56
MARPOME,GAFEXT,202
TINEM,ROSLIB1,68
JACSM6A,WFANON2,92
ANOCOBR,ANOCOMB,1326
VINSPE,CALVEX,51
CICNM2,JACSP6A,55
MURMSP,MURMUS,109
ISIDEM,VINSPE,167
ANOOXO,REGHAR,91
REGDHI,BOEMUS1,66
IERTDM1,BOEMUS1,2356
IERTDM1,MAUDEU,257
BERNPRO,BERNDIV,100
ADEMUS,IERTDM2,377
UGODEC5,BOEDIM3,195
AURMD,VINSPE,176
ODODIA,RUDQUA,88
COCTET4,GAFPM3,89
IERTDM1,FULMUS2,55
JACSP7,MURCOM,61
JACSP6B,JACSP6A,206
JOHMUS,CONNOV,801
ANODMP,AQUMUS,74
ANOTRUT,JACSM6A,120
REGDHI,BOEDIM1,125
MARLU11,BONBRE,1057
DISVUL,IERTDM2,57
MURAD,MURNOT,339
BOEDIM1,VINSPE,911
CICNM1,BOEMUS5,153
ANOTRUT,ANOMETE,66
GAFEXT,MARLUC9,79
JACSM6A,JACSM6B,101
BURMUS1,GAFTM1,57
QUAPRIB4,FRAACM,262
VITARNO,ANO2TRA,55
FRUBRE,FRUTON,66
JACSP5B,IERTDM2,146
ALIAMU,ANODUL2,212
JACSP7,FRAARS,72
HERMUSB,WILMU,68
BOEMUS4,VINSPE,65
JACSM6B,JACSP6A,55
MACCOM2,MACCOMSS,611
FARSCI,FARSCIE,228
JOHMU,JACSP6B,62
GUIREG,GUIRR,1075
VALMON,SZAMUS,53
FRAARSC,FRAARSCM,1526
WOLENC5,SCHOPA,88
ADORF,ADORFBR,57
MURCOM,MURQUAE,860
AURMD,ISISEN,51
REGDHI,CICNM1,126
GAFTM1,IERTRA1,68
ANO2TRA,ARITRA,58
BERNMUS,HUCHARM,65
BERNMUS,RUDQUA,343
MURLIB,GAFEXT,180
ANO2DEM,ANO2DEV,1182
HANSUM,FRAARS,181
ARIMUS,EBETRA,200
IERTRA1,AURMUS,112
QUAPRIB4,FRAARSCM,224
UGODEC3A,BERMAN,159
ODODIA,JACCDM,54
JACSP5B,BOEDIM4,64
HANREG,ARTDIS,67
HANSUMA,FRAARS,304
G=FABMUS1,FINPRA,202
TINCPT2,TINCON1,82
ANOTRUT,ODODI,396
FRUBRE,BERNINT,157
UGODEC1A,IERTRA1,84
ANODMM,GARDEMP,59
ANO2TRA,HANREG,93
CENDIE,GAFTM1,112
ANOMETE,ANOMUSD,51
MARLU7,MARLUC7,113
REGDHI,MACCOM2,123
JACSM6B,GUIREG,62
BERNPRO,ANOOXO,53
JACSP5B,ADEMUS,72
GAFEXT,UGODEC1A,1240
ANODUL2,REGHAR,76
GAFTM2,BOEMUS1,113
BONBRE,ANOQS,64
JACSM6A,BOEMUS4,78
ANOCOMM,HANSUM,69
ODORHY,ISISEN,134
KILDOS,KILDEO,172
JOHMU,IERTRA1,245
ANOOREF,QUAPRIB2,86
JOHMU,JACSP6A,166
ANOMETE,ARIMU,82
HANSUMA,FRAARSCM,252
CASIM,CASINS,864
SZYDMUS,VALMON,58
HERMUSE,WILMUS,72
BONBRE,JOHPAL,68
JACSP5A,BOEMUS4,68
QUAPRIB1,BEDMUS,194
DYGONPRO,GAFPM4,223
FRUBRE,BERNDEM,273
MURARSPA,VITARSP,82
ISISEN,REGHAR,119
FRURIT,BOEARI1,80
IERTDM1,HOTEXC,85
JACSM6A,IERTRA2,64
BOEMUS1,LIBDEM,127
ARIDEM,ANOCYM,194
IERTDM1,JACSP6A,60
BOEDIM1,LIBDEM,178
ANOCOMP,ANO12TCF,107
ABGUREG,ABGURAM,197
GUICOMS,GUIMICR,99
ROSLIB1,MARLUC6,61
ANOTRA,ANO12TCF,96
DREPRA,DREPRO,3993
TRADEF,ANO6TRA,1905
ODODIA,GARINT,137
MARBRE,MARPOM,246
ANO1279,ARITRA,56
MUSENCI,BOEMUS5,75
HANSUM,ANOTDD,61
UGODEC3A,MURLIB,250
PETARS,FRAARS,59
PROTRAY,PROEXP,180
BERNDIV,ANODUL2,90
ANO1DEM,FRAARSC,64
ANO11TDM,IERTRA1,79
CICNM1,BOEDIM5,69
ANOMUPO,JOHPAL,58
NOTDEM,NOTLET,51
LUCARSC,MURLIB,507
HANREGU,ANOTDD,86
BOEMUS3,IERTRA1,903
BOEMUS5,BOEDIM5,135
AUGDEM2,ANOOXO,60
ODODIA,ODODI,3733
MURMUSAB,MURMUS,413
AURMUSD,ISIDEMU,63
MURLIB,PROEXP,813
IERTDM1,JACSP3B,78
MURPRA,ANO6DEM,132
ANO11TDM,ANOPHIL,72
BERNTON,BERNDEC,88
ANOINC,MUSENCH,479
ADORFAC,ADORFBA,71
CICNM1,BOEDIM2,84
BOEDIM1,REGDHI,146
ANOSPEG,GUIMIC,81
GAFHAR2,GAFHAR1,54
ADEMUSI,IERTDM2,442
BOEMUS5,MUSENCH,69
MARLU11,MARLUC11,1756
VINSPE,GAFEXT,71
IERTDM1,UGODEC1A,89
ISIDEM,ANOMUSD,85
VINSPE,FARSCIE,91
AURMUS,ISIDEMU,85
ANO11TDM,GAFEXT,62
ANO11TDM,VANREM,94
PROLIB,PROPAR,1979
RAMMP1T2,HOTEXC,419
REGHARI,BOEMUS3,124
ISISEN,ZAMLAM,55
BERNDCTD,BERNDCT,343
MARLU5,MARLUC5,419
CICNM4,IERTRA1,65
JACSP7,ANOFRA4,196
JACSM7,FRAACM,62
UGODEC3A,LUCARSC,501
ANO1MUS,ANO1MU,2055
MUSENC,BOEDIM5,74
GALRIT1,GALRC1,3248
ANOTRUT,GUIMOD,389
VINSPE,IERTDM1,900
WILBRE,ODISUM,171
ANOPRO,ANO11TRA,129
ANO3DEC,HANSUM,62
VITLIBM,ANODVC,158
BERNMUS,FRUBRE,99
WOLENC2,WOLOPA,1050
ANO2TRA,ANO3DEC,150
BOEDIM5,MUSENCH,144
GARDEM,GARDMMP,186
ANO1DEM,QUAPRIB4,4410
ANOUPS2,ANO2TRA,84
MARBREV,MARPOM,220
ODOMUS,ISISEN,161
BOEDIM4,JACSP5B,143
BOEDIM5,ANOOXO,56
ANSDEM,GAFTM1,117
UGODEC2,RAMMP2,96
ISIDEM,IERTRA1,407
MURARSPA,BERMAN,107
ROSLIB1,MARLUC11,449
JACSP3B,JACSP2A,69
VINSPE,CICPROP,54
JOHDEM,IERTRA1,240
ISIDEM,GAFEXT,78
FRUBRE,HERMUSB,313
JACSP2C,JACSP2A,191
ANO5ARS,ANO5ACM,3161
FRAARS,HANSUM,107
ANOMUSC,MURARSPA,62
MURARSPB,UGODEC3A,197
RHAENC,SPANQUA,264
REGHARI,CICNM1,139
WOLENC3,WOLOPA,129
ARIMU,GUICOMS,70
ANODCD,ANODFC,52
ADORF,GUIREG,75
JACSM6A,BERNMUS,149
JOHMUS,ANOLIBM,82
GUIMICRO,ANOSPEG,57
VITARNO,VITARSN,1522
SZYDMUS,ANO11TDM,183
LUCARSC,BERMAN,278
BERNDIV,HUCHARM,96
BOEDIM1,REGHARI,65
GLADOD2,SALMUS6,86
ANOLEIP,GAFPM3,79
ANOINC,MUSENCI,730
IERTDM1,ANOOXO,186
HANREGU,ANO3DEC,81
ROSLIB1,GAFEXT,164
ODOMU,ISIDEMU,152
BOEMUS1,HOTEXC,68
LOSERO,G=FABMUS1,127
SPANQUA,FINPRA,194
BERNPRO,FRUBRE,98
IERTDM1,VINSPE,1839
BERNDIVM,ALIMU,121
FRUBRE,ANO1MU,240
IERTDM1,ODIDES,57
ANOCOBR,ANOCBT,591
ANO7DEM,ANODML,1181
BOEDIM3,REGHAR,107
GUICOM,GUIMIC,151
ANOCOMM,HANREG,58
IERTDM1,JACSP2A,104
QUAPRIB3,ANOTRHO,97
BONBRE,ANO11TRA,53
IERTRA1,CICPROP,56
CARTRA,ANOTRHO,125
FRAARSC,ANO1DEM,149
ANOFIG,ANOARSM,126
ANOTDD,ANO2TRA,1558
IERTRA1,RUDQUA,63
MARLUC9,MARLU9,603
BOENMU,BOENMUS,146
BOEMUS1,RAMMP1T2,63
FLATRA,MURARSD,63
CASINST,CASINS,672
JACSP5B,JACSP2A,85
TINTRAL,TINTRALT,521
BOEDIM1,CALVEX,123
LOSERO,RHAENC,108
MARLU11,ROSLIB1,543
LIBDEM,LIBDEP,90
ODORHY,MACCOM2,55
TRAFIG,CASTRA,608
ANOARG,ANOFRA2,73
MURARSPA,UGODEC3B,215
VITARN,VITARNO,3940
UGODEC3A,GAFEXT,206
LIBDEM,BOEMUS1,65
IERTRA1,ISIDEMU,321
JACSP6B,GUIRR,70
ANOTDD,AQUMUS,72
CICNM1,IERTRA1,277
SZYDMUS,PERTRA,71
IERTDM1,CICPROP,89
ANO1279,GARDMM,100
HERMUSB,WILMUS,79
ARIMUS,ANOCYM,133
ISISEN,ZAMLIB,63
PETMUSM,PETMUSUP,214
AURMUS,JACSP1A,56
IERTDM1,JOHDEM,312
ANO12TCF,ANO12TRA,3507
IERTDM1,CICNM3,92
BOEDIM4,CICNM4,103
LUCARSC,MURARSPA,625
AURMDAP,AURMD,271
GAFTM3,BOEMUS2,76
ANO11TRA,ROSLIB1,100
MUSENCH,BOEMUS5,71
ALIAMU,ALIMUSI,1920
ANOLIBM,CONNOV,51
HOTDEC,HOTDCF1,502
WFANON2,RUDQUA,121
MURMSP,MURMSPE,100
GUIMIC,CONNOV,137
ANODUL2,ALIMUS,189
VITARSN,ANOTDD,74
TINPROM,TINPRO,3680
GAFEXT,UGODEC3B,85
BOEDIM1,BOEMUS1,2899
SCHEN,ANOOXO,98
ISISEN,GAFEXT,102
BERNPRO,BERNDEM,235
ISISEN,AURMUS,67
ANO1279,GARDEMP,67
UGODEC3A,ANOMUS2,59
ANO11TRA,TINLDN,53
QUAPRIB1,IERTRA1,53
LUCARSC,LUCARS,795
ALIMUSI,ALIMUS,4037
SCHOPA,FULMUS4,132
AMEPRA,ANOOXOC,131
CICNM2,ANOQUID,98
ANOPRA,HANSUM,66
BOEMUS3,MURTON,58
RUDQUA,IERTRA1,136
MURARSPB,BERMAN,314
ANOOREF,QUAPRIB3,84
VINSPE,UGODEC5,62
BERNDIVM,BERNDIV,2405
ANOCBP,LUCARS,102
AURMD,ODOMU,51
WFANON1,HERMUSG,67
VINSPE,BOEDIM1,1169
ANO2TRA,VITARNO,87
BOEDIM2,IERTDM1,1718
ANOCMDG,ANOCMD,310
ANO2TRA,ANODMP,54
ANOMUSD,IERTRA1,60
HERMUSB,HERMUSE,91
MARLU6,BONBRE,86
TINCPT1,TINCON1,55
MURNOT,MURPRA,77
AURMUS,AURMDAP,335
LUCARSC,PROEXP,752
IERTDM1,JACSM6A,56
ODOMUS,VINSPE,184
PETTRA,PETTRAC,263
CICNM1,REGHAR,134
BOEMUS4,JACSP5B,136
AURMUSD,REGTONA,89
GARDEMP,GARDMMP,1649
MUSENC,ANOINC,51
AURMD,ALIMUSI,53
TINCOM2,TINCOM1,433
SZYDMUS,ANO11TRA,227
BERNPRO,JACSP6A,176
ANOSPI,ANOEMD,92
WFANON1,HERMUSB,70
UGODEC5,IERTRA1,165
LISMUS,SPANQUA,68
THEPAR,ANOMETE,65
QUAPRIB3,AQUMUS,67
VALMON,GLADOD1,54
SCHOPA,WOLENC6,119
MURNOT,MURMUSI,122
GUICOM,ARIMU,501
JACSP5A,ODODI,54
WOLENC5,GAFPM4,239
BERNDCT,BERNDEC,732
JACSP5B,ADEMUSI,56
REGHARI,VINSPE,181
SALMUS3,SALMUS4,84
BONBRE,ANOMUS,230
FABMUS2,FINPRA,51
GUIPRAN,GUIPRO,708
VANREM,GAFEXT,53
GUIMOD,ANODMF,1628
WILMUS,ANOMARG,65
MURNOT,MURMSPE,307
ANOTRA,ANO12TRA,138
JACSP6A,ODODI,54
BOEMUS1,AURMUS,103
GUISEX,GUIRR,89
QUAPRIB3,ARITRA,181
CARTRA,ANO11TDM,80
JACSP3A,JACSP2A,77
JACSM6B,JACDIT,89
GUIRRH,GUIREG,971
ODOMUS,ISIDEMU,170
GAFPM1,LIBDEM,88
HANREG,ANOTDD,88
BOEMUS1,UGODEC1A,117
FRUBREC,ANO1MUS,128
CICNM1,MARLUC1,57
HANREGU,HANREG,2836
FRUBRE,HERMUSE,278
PETQUO,GUISTON,93
ORIPRA,RHAENC,56
ZAMLIB,BERTON,62
ANO11TDM,SZYDMUS,63
ISIDEM,CASINS,54
SCHENC,ANOOXO,108
JOHMU,CONNOV,781
IERTDM1,CONNOV,85
ARITRA,GUEUT,58
ANOTDD,ANOPRA,124
FRUBRE,WILMU,175
BEDMUST,BEDMUT,1638
HANSUMA,FRAACM,173
BERMAN,UGODEC3B,52
IERTDM2,ADEMUS,463
CICNM2,BERNPRO,232
ODORHY,REGHAR,128
MURARSPA,LUCARSC,485
WOLOPA,WOLENC1,688
BERNDEM,ANO1MUS,1462
CASLETP,CASLETC,438
IERTDM1,ANOMETE,75
BERNTO,BERNTON,2584
ANO1DEM,FRAARSCM,109
GUIMIC,THEMUSI,51
ANOVERP,ANOMIC,194
BERNPRO,JACSM6A,145
IERTDM1,REGHAR,270
ANOOMD,VITARSP,63
IERTDM1,GLADOD1,95
GUIMICR,GUICOM,132
MAUMUS,ISISEN,54
BOEDIM2,CICNM1,88
ANOQUO,WILMU,56
ANOOXO,ANOOXOC,244
JACSP2C,JACSP2B,220
BERNPRO,RUDQUA,377
GAFEXT,MARBREV,1399
GALRC2,BURMUS1,52
ZAMLAM,ISIDEMU,78
GUIMICRO,THEPAR,61
VINSPE,BOEDIM5,88
